id,nombre,peso,altura,tipo
1,bulbasaur,7,69,"['grass', 'poison']"
2,ivysaur,10,130,"['grass', 'poison']"
3,venusaur,20,1000,"['grass', 'poison']"
4,charmander,6,85,['fire']
5,charmeleon,11,190,['fire']
6,charizard,17,905,"['fire', 'flying']"
7,squirtle,5,90,['water']
8,wartortle,10,225,['water']
9,blastoise,16,855,['water']
10,caterpie,3,29,['bug']
11,metapod,7,99,['bug']
12,butterfree,11,320,"['bug', 'flying']"
13,weedle,3,32,"['bug', 'poison']"
14,kakuna,6,100,"['bug', 'poison']"
15,beedrill,10,295,"['bug', 'poison']"
16,pidgey,3,18,"['normal', 'flying']"
17,pidgeotto,11,300,"['normal', 'flying']"
18,pidgeot,15,395,"['normal', 'flying']"
19,rattata,3,35,['normal']
